age,education-num,sex,hours-per-week,salary,workclass,education,marital-status,occupation,relationship,race,country,fnlwgt
40,12,0,40,0,22286,1008,14065,3721,12463,25933,28833,32214.0
18,7,1,22,0,22286,1048,9726,3212,4466,25933,28833,309634.0
31,4,0,40,0,2067,557,14065,989,12463,25933,28833,125927.0
18,9,0,30,0,22286,9840,9726,3584,7726,25933,28833,446839.0
52,13,0,40,0,22286,5044,14065,3212,12463,25933,28833,276515.0
46,9,1,40,0,22286,9840,14065,3212,1406,25933,28833,51618.0
59,9,0,48,0,22286,9840,14065,3584,12463,25933,28833,159937.0
44,9,1,40,1,22286,9840,4214,4030,7726,25933,28833,343591.0
53,9,1,35,0,22286,9840,4214,3584,4466,25933,28833,346253.0
49,9,0,40,1,2067,9840,14065,644,12463,25933,28833,268234.0
33,14,0,50,0,22286,1627,14065,4038,12463,25933,28833,202051.0
30,5,0,40,0,22286,455,9726,3584,7726,25933,28833,54334.0
43,16,1,50,1,943,375,9726,4038,7726,25933,28833,410867.0
57,11,0,40,0,22286,1307,14065,4038,12463,25933,28833,249977.0
37,10,1,40,0,22286,6678,4214,4030,3212,25933,28833,286730.0
28,10,1,25,0,22286,6678,4214,1966,3212,2817,28833,212563.0
34,13,0,40,1,2067,5044,14065,644,12463,25933,28833,226296.0
29,10,0,50,0,2067,6678,9726,1350,7726,25933,28833,115585.0
48,16,0,60,1,2499,375,14065,4038,12463,25933,28833,191277.0
37,10,0,48,1,22286,6678,14065,3584,12463,25933,28833,202683.0
48,12,1,40,0,22286,1008,4214,3992,3212,25933,480,171095.0
32,9,0,40,0,943,9840,9726,3212,4466,2817,28833,249409.0
44,13,0,60,1,22286,5044,14065,3992,12463,25933,28833,198282.0
47,14,1,50,0,2499,1627,9726,4038,7726,25933,28833,149116.0
20,10,1,40,0,22286,6678,9726,912,4466,25933,28833,188300.0
29,9,0,40,0,22286,9840,9726,4030,7726,25933,28833,103432.0
32,9,0,40,1,1074,9840,14065,4030,12463,25933,28833,317660.0
30,7,0,40,0,22286,1048,9726,1350,4466,25933,28833,194901.0
31,9,1,40,0,2067,9840,9726,3721,7726,25933,28833,189265.0
42,9,0,40,0,22286,9840,14065,1350,12463,25933,28833,124692.0
24,13,0,40,0,22286,5044,9726,3584,889,25933,28833,432376.0
38,15,0,40,1,22286,542,14065,4038,12463,25933,28833,65324.0
56,9,0,50,1,2499,9840,14065,3212,12463,25933,28833,335605.0
28,10,1,25,0,22286,6678,14065,3584,1406,25933,28833,377869.0
36,9,1,40,0,22286,9840,9726,1966,4466,25933,28833,102864.0
53,5,0,50,0,22286,455,14065,1350,12463,25933,28833,95647.0
56,10,0,50,0,1074,6678,14065,3584,12463,25933,28833,303090.0
49,11,0,40,1,2067,1307,14065,4030,12463,2817,28833,197371.0
55,10,0,56,0,22286,6678,14065,3584,12463,25933,28833,247552.0
22,9,0,41,0,22286,9840,9726,4030,7726,25933,28833,102632.0
21,10,1,40,0,22286,6678,9726,3212,4466,25933,28833,199915.0
40,13,0,60,0,22286,5044,14065,3992,12463,25933,28833,118853.0
30,13,0,40,0,22286,5044,9726,3992,4466,2817,480,77143.0
29,13,0,50,1,1279,5044,14065,4038,12463,25933,28833,267989.0
19,10,0,35,0,22286,6678,9726,3212,4466,2817,28833,301606.0
47,13,1,40,1,22286,5044,14065,3992,1406,25933,28833,287828.0
20,10,1,28,0,22286,6678,9726,3721,4466,25933,28833,111697.0
31,12,0,40,1,22286,1008,14065,3721,12463,25933,28833,114937.0
39,10,0,40,0,22286,6678,4214,4030,7726,25933,28833,365739.0
28,12,1,60,0,22286,1008,9726,3584,7726,25933,28833,69621.0
24,9,1,40,0,22286,9840,9726,3212,7726,25933,28833,43323.0
38,9,0,35,0,2499,9840,14065,4030,12463,25933,28833,120985.0
37,13,0,50,0,22286,5044,14065,3584,12463,25933,28833,254202.0
46,12,1,36,0,22286,1008,4214,912,7726,2817,28833,146195.0
38,14,0,40,1,943,1627,14065,4038,12463,25933,647,125933.0
43,9,0,60,0,2499,9840,14065,4030,12463,25933,28833,56920.0
27,11,1,35,0,22286,1307,14065,3721,1406,25933,28833,163127.0
20,10,0,20,0,22286,6678,9726,3584,4466,25933,28833,34310.0
49,10,0,40,1,22286,6678,14065,4030,12463,895,28833,81973.0
61,9,0,40,0,1074,9840,14065,4030,12463,25933,28833,66614.0
27,10,1,40,0,22286,6678,9726,3584,4466,25933,28833,232782.0
19,10,0,30,0,22286,6678,9726,3212,4466,25933,28833,316868.0
45,11,1,40,1,22286,1307,9726,4038,7726,25933,28833,196584.0
70,10,0,40,0,22286,6678,9726,912,889,25933,28833,105376.0
31,9,1,30,0,22286,9840,9726,1572,3212,2817,28833,185814.0
22,10,0,24,0,22286,6678,14065,3212,12463,25933,28833,175374.0
36,9,1,24,0,22286,9840,827,3212,3212,25933,28833,108293.0
64,7,0,40,0,22286,1048,14065,4030,12463,25933,28833,181232.0
47,10,1,38,0,2067,6678,4214,3721,3212,25933,28833,186009.0
34,9,1,40,0,22286,9840,9726,3721,7726,25933,28833,198183.0
33,13,1,40,0,22286,5044,9726,3992,889,895,647,163003.0
21,9,0,35,0,22286,9840,9726,4030,4466,25933,28833,296158.0
48,9,0,46,0,22286,9840,14065,4030,12463,25933,28833,187715.0
23,13,0,40,0,22286,5044,9726,1350,7726,25933,28833,214542.0
71,10,0,2,0,2499,6678,939,3584,3212,2817,28833,494223.0
29,9,0,60,0,22286,9840,4214,4030,7726,25933,28833,191535.0
42,13,0,50,0,22286,5044,939,3212,889,2817,28833,228456.0
25,9,1,40,0,22286,9840,9726,3212,3212,25933,28833,252752.0
44,14,1,40,0,1074,1627,4214,3992,3212,895,28833,78374.0
28,9,1,40,0,22286,9840,9726,3992,7726,895,480,88419.0
45,14,0,40,1,2499,1627,14065,3584,12463,25933,28833,201080.0
36,10,1,40,0,22286,6678,4214,3212,3212,25933,28833,207157.0
39,12,0,42,0,943,1008,9726,3992,7726,25933,28833,235485.0
46,14,0,40,0,1279,1627,827,644,3212,25933,28833,102628.0
18,7,0,16,0,22286,1048,9726,1350,4466,25933,28833,25828.0
66,11,1,20,0,2067,1307,827,4038,7726,25933,28833,54826.0
27,9,0,40,0,22286,9840,9726,3212,7726,25933,28833,124953.0
28,9,0,40,0,1279,9840,14065,644,12463,25933,28833,175325.0
51,10,0,40,1,22286,6678,14065,3584,12463,25933,28833,96062.0
27,13,0,50,0,22286,5044,9726,4030,7726,25933,28833,428030.0
28,13,0,40,1,1279,5044,14065,4038,12463,25933,28833,149624.0
27,9,1,25,0,22286,9840,370,3584,3212,25933,28833,253814.0
21,9,0,40,0,22286,9840,9726,4030,4466,2817,28833,312956.0
34,9,0,40,0,22286,9840,9726,1350,7726,2817,28833,483777.0
18,9,0,12,0,22286,9840,9726,3212,4466,25933,28833,183930.0
33,13,0,65,0,22286,5044,14065,4038,12463,25933,28833,37274.0
44,10,0,38,1,2067,6678,14065,3992,12463,2817,28833,181344.0
43,10,1,40,0,22286,6678,4214,3721,7726,25933,28833,114580.0
30,10,0,45,0,22286,6678,9726,4030,7726,2817,28833,
40,4,0,40,1,22286,557,14065,1966,12463,25933,28833,286370.0
37,10,0,42,1,943,6678,14065,3721,12463,25933,28833,29054.0
34,9,0,40,0,22286,9840,14065,3721,12463,2817,28833,304030.0
41,13,1,40,0,2499,5044,4214,3992,7726,25933,28833,143129.0
31,14,1,50,0,22286,1627,14065,4038,1406,25933,28833,99928.0
58,16,0,1,1,1279,375,14065,4038,12463,25933,28833,109567.0
38,10,1,28,0,22286,6678,4214,1966,7726,2817,28833,155222.0
24,10,0,40,0,22286,6678,14065,1966,12463,25933,28833,159567.0
41,13,0,40,0,2067,5044,14065,4030,12463,2817,28833,
47,10,0,45,0,22286,6678,14065,912,12463,25933,28833,120939.0
41,13,0,24,0,943,5044,14065,912,12463,25933,28833,130760.0
23,3,0,40,0,22286,288,14065,1572,889,25933,28833,197387.0
36,10,0,40,0,22286,6678,4214,4030,7726,25933,28833,99374.0
40,14,1,55,1,943,1627,9726,3992,7726,25933,28833,56795.0
35,14,0,40,1,22286,1627,14065,4038,889,25933,28833,138992.0
24,9,0,40,0,2499,9840,9726,3584,7726,25933,28833,32921.0
26,14,1,40,0,22286,1627,9726,4038,7726,25933,28833,397317.0
51,13,0,50,1,22286,5044,14065,3992,12463,25933,28833,259323.0
42,10,1,40,0,2067,6678,9726,4038,7726,25933,28833,254817.0
37,9,1,35,0,1279,9840,4214,3721,3212,25933,28833,48211.0
18,7,1,40,0,22286,1048,9726,3584,4466,25933,28833,140164.0
36,13,0,36,1,22286,5044,14065,3212,12463,2817,28833,128757.0
35,9,0,60,0,22286,9840,4214,4030,7726,25933,28833,36270.0
58,9,1,35,1,1074,9840,14065,3584,1406,25933,28833,210563.0
17,7,1,12,0,22286,1048,9726,3584,4466,25933,28833,65368.0
44,9,0,40,0,2067,9840,14065,1572,12463,2817,28833,160943.0
37,9,0,40,1,22286,9840,14065,4030,12463,25933,28833,208358.0
35,10,1,40,0,22286,6678,9726,3584,7726,286,28833,153790.0
60,9,0,40,0,22286,9840,14065,4030,12463,895,28833,85815.0
54,4,0,40,1,1074,557,14065,1966,12463,25933,28833,125417.0
37,13,0,60,1,22286,5044,9726,3992,7726,2817,28833,
50,12,1,40,0,22286,1008,4214,3584,7726,25933,28833,313321.0
38,13,0,50,0,22286,5044,14065,3584,12463,25933,480,182609.0
45,13,0,55,0,22286,5044,14065,4038,12463,25933,28833,109434.0
25,6,0,40,0,22286,820,9726,4030,7726,25933,28833,255004.0
31,10,0,40,0,22286,6678,14065,1350,12463,25933,28833,197860.0
54,9,0,20,0,22286,9840,14065,3721,12463,2817,28833,176681.0
53,1,1,35,0,2067,45,9726,1966,7726,25933,28833,140359.0
18,9,1,40,0,22286,9840,9726,3584,4466,25933,28833,243313.0
66,9,0,50,0,2499,9840,14065,989,12463,25933,28833,167687.0
75,11,1,20,0,22286,1307,827,3721,7726,25933,202,314209.0
65,9,1,40,0,22286,9840,4214,3721,7726,25933,28833,176796.0
35,7,0,40,0,22286,1048,939,1572,7726,2817,28833,
41,9,1,38,0,22286,9840,4214,3584,3212,2817,28833,130408.0
25,10,0,42,0,22286,6678,9726,3721,7726,25933,28833,159732.0
33,10,1,40,0,22286,6678,4214,4030,889,231,28833,110978.0
28,15,0,55,1,22286,542,9726,4038,7726,25933,28833,76714.0
59,9,0,40,0,1279,9840,14065,3212,12463,25933,28833,268700.0
40,10,1,38,0,1279,6678,9726,3721,7726,25933,28833,170525.0
41,13,0,50,1,22286,5044,14065,3992,12463,25933,647,180138.0
38,14,0,70,1,2067,1627,14065,3992,12463,25933,28833,115076.0
23,9,0,40,0,22286,9840,9726,1572,4466,25933,28833,115458.0
40,13,0,40,1,22286,5044,14065,4038,12463,25933,28833,347890.0
41,9,1,20,0,2499,9840,14065,3212,1406,25933,28833,196001.0
24,12,0,50,0,1279,1008,14065,644,12463,25933,28833,273905.0
38,10,0,40,0,22286,6678,4214,4030,7726,25933,28833,179488.0
58,9,0,45,1,22286,9840,14065,3721,12463,25933,28833,236596.0
32,9,1,34,0,22286,9840,9726,3212,7726,25933,28833,183916.0
40,12,0,60,1,22286,1008,14065,912,12463,25933,28833,207578.0
41,15,1,40,1,22286,542,14065,4038,1406,25933,28833,112763.0
42,13,1,40,0,22286,5044,14065,3721,1406,2817,28833,390781.0
59,6,1,30,0,2067,820,827,3212,3212,2817,28833,171328.0
19,10,0,40,0,2067,6678,9726,3721,4466,25933,28833,27382.0
58,10,0,20,0,22286,6678,9726,1572,7726,25933,28833,259014.0
42,9,0,40,1,2499,9840,14065,989,12463,895,647,303044.0
20,9,1,40,0,22286,9840,9726,3212,4466,25933,28833,117789.0
32,9,1,30,0,22286,9840,939,3212,7726,25933,28833,172579.0
45,11,1,45,0,22286,1307,827,3992,7726,25933,28833,187666.0
50,4,0,40,0,22286,557,4214,4030,7726,25933,28833,204518.0
36,13,1,40,0,22286,5044,4214,4038,4466,25933,28833,150042.0
45,9,0,60,0,22286,9840,14065,3584,12463,25933,28833,98092.0
17,7,0,12,0,22286,1048,9726,3212,4466,25933,28833,245918.0
59,10,0,40,0,22286,6678,14065,3584,12463,25933,28833,146013.0
26,7,0,40,0,22286,1048,14065,4030,12463,25933,28833,378322.0
37,10,0,75,1,1074,6678,14065,3992,12463,895,647,257295.0
64,9,0,40,1,22286,9840,14065,3992,12463,25933,28833,21174.0
33,13,1,45,0,22286,5044,9726,4038,7726,25933,28833,185480.0
33,9,1,40,1,22286,9840,14065,4030,1406,25933,28833,222205.0
61,9,0,40,1,22286,9840,14065,3992,12463,25933,28833,69867.0
17,5,0,24,0,22286,455,9726,3212,4466,25933,28833,191260.0
50,14,0,98,0,2499,1627,14065,989,12463,25933,28833,30653.0
27,14,0,35,0,2067,1627,9726,4038,4466,25933,28833,209109.0
30,9,1,40,0,22286,9840,4214,4038,4466,25933,28833,70377.0
43,9,0,40,0,22286,9840,14065,1350,12463,2817,28833,477983.0
44,10,0,40,1,22286,6678,14065,4030,12463,25933,28833,170924.0
35,10,1,40,0,22286,6678,9726,3992,7726,25933,28833,190174.0
25,10,1,40,0,22286,6678,9726,912,4466,25933,28833,193787.0
24,10,1,48,1,22286,6678,14065,1966,1406,25933,28833,279472.0
22,13,1,15,0,22286,5044,9726,4038,7726,25933,480,34918.0
42,10,0,40,1,2067,6678,14065,4030,12463,25933,28833,97688.0
34,12,1,45,0,22286,1008,4214,3584,3212,2817,28833,175413.0
60,13,1,42,0,22286,5044,4214,4038,7726,25933,28833,173960.0
21,9,0,40,0,22286,9840,9726,1350,4466,25933,28833,205759.0
57,14,0,40,1,943,1627,14065,3584,12463,25933,28833,425161.0
41,15,0,60,1,22286,542,14065,4038,12463,25933,28833,220531.0
50,10,0,45,0,22286,6678,4214,3212,7726,25933,28833,176609.0
25,13,1,40,0,22286,5044,9726,3992,7726,25933,28833,371987.0
50,4,0,40,0,22286,557,14065,4030,12463,25933,202,193884.0
36,13,0,45,0,22286,5044,14065,4038,12463,25933,28833,200352.0
31,9,1,40,0,22286,9840,4214,4038,7726,25933,28833,127595.0
29,13,0,56,0,2067,5044,9726,644,7726,25933,28833,220419.0
21,10,0,45,0,22286,6678,9726,3584,4466,25933,28833,231931.0
27,13,1,40,0,22286,5044,9726,912,3212,2817,28833,248402.0
65,9,0,16,0,22286,9840,14065,1572,12463,25933,28833,111095.0
37,13,1,60,0,1074,5044,4214,3584,7726,25933,28833,57424.0
24,9,0,40,0,22286,9840,9726,4030,4466,25933,28833,278130.0
38,9,0,80,0,22286,9840,4214,3584,7726,25933,28833,169469.0
48,13,0,40,1,22286,5044,14065,3721,12463,25933,28833,146268.0
21,10,1,25,0,22286,6678,9726,3212,7726,895,28833,153718.0
31,9,0,45,1,22286,9840,14065,1572,12463,25933,28833,217460.0
55,9,0,40,1,22286,9840,14065,3584,12463,25933,28833,238638.0
24,10,1,40,0,22286,6678,14065,3721,1406,895,647,303296.0
43,9,1,40,0,22286,9840,4214,3721,7726,25933,28833,173321.0
26,12,0,45,0,22286,1008,9726,912,7726,25933,28833,193945.0
46,12,1,33,0,22286,1008,9726,4038,7726,25933,28833,83082.0
35,12,0,40,1,22286,1008,14065,3721,12463,25933,28833,193815.0
41,10,0,54,1,1074,6678,14065,989,12463,25933,28833,34987.0
26,13,0,40,0,22286,5044,9726,3584,7726,25933,28833,59306.0
34,14,0,35,1,22286,1627,14065,3992,12463,895,647,142897.0
36,13,1,40,1,2499,5044,4214,4038,7726,2817,28833,205607.0
22,10,0,15,0,22286,6678,9726,3584,4466,25933,28833,199698.0
24,10,0,40,0,22286,6678,9726,1966,7726,25933,28833,191954.0
22,3,1,40,0,22286,288,14065,1966,889,25933,28833,399087.0
29,10,1,40,0,22286,6678,9726,912,7726,25933,28833,423158.0
62,9,1,24,0,22286,9840,827,3212,7726,25933,28833,159841.0
39,9,0,40,0,2499,9840,14065,3992,12463,25933,28833,174308.0
43,10,0,50,0,22286,6678,14065,4030,12463,25933,28833,50356.0
35,9,0,45,0,22286,9840,4214,1572,7726,25933,28833,186110.0
29,7,1,40,0,22286,1048,9726,3992,7726,25933,28833,200381.0
63,9,0,45,0,2499,9840,14065,989,12463,25933,28833,78383.0
43,10,1,50,1,22286,6678,14065,4038,1406,25933,28833,187728.0
58,9,0,40,0,2499,9840,14065,1350,12463,25933,28833,321171.0
66,9,0,55,0,22286,9840,9726,1572,7726,25933,28833,127921.0
41,10,0,45,0,22286,6678,9726,4030,7726,2817,28833,206565.0
26,13,0,40,0,22286,5044,9726,3721,7726,25933,28833,224563.0
47,11,0,40,0,22286,1307,9726,3212,7726,25933,28833,178686.0
55,6,0,40,0,2067,820,14065,3721,12463,25933,28833,98545.0
53,9,0,40,0,22286,9840,14065,1572,12463,25933,28833,242606.0
17,3,0,48,0,22286,288,9726,3212,889,25933,28833,270942.0
30,9,0,40,0,22286,9840,9726,4030,889,25933,28833,94235.0
49,14,0,60,0,22286,1627,9726,4038,7726,25933,28833,71195.0
19,9,0,30,0,22286,9840,9726,3584,3212,2817,28833,104112.0
45,9,0,40,0,22286,9840,14065,3212,12463,2817,28833,261192.0
26,12,0,40,0,22286,1008,9726,3584,7726,25933,28833,94936.0
38,11,0,40,1,22286,1307,14065,4030,12463,25933,28833,296478.0
36,9,0,40,1,1279,9840,14065,644,12463,25933,28833,119272.0
33,9,0,20,0,22286,9840,9726,989,7726,25933,28833,85043.0
22,10,1,40,0,1279,6678,9726,644,4466,2817,28833,293364.0
43,13,0,42,0,2499,5044,9726,3584,7726,25933,28833,241895.0
56,12,0,25,0,22286,1008,370,3212,7726,25933,647,101128.0
31,13,0,25,0,22286,5044,9726,4038,4466,25933,28833,156464.0
33,13,0,40,1,22286,5044,14065,3992,12463,25933,28833,117963.0
26,9,0,40,0,22286,9840,14065,3212,12463,25933,28833,192262.0
33,13,0,40,1,22286,5044,14065,3992,12463,25933,28833,111363.0
46,7,0,30,0,2067,1048,14065,1572,12463,25933,28833,329752.0
38,9,0,40,1,943,9840,14065,3721,12463,25933,28833,95432.0
65,7,0,40,0,22286,1048,827,3212,3212,231,28833,161400.0
40,11,0,40,1,22286,1307,14065,912,12463,25933,28833,96129.0
42,9,1,35,0,22286,9840,14065,3721,1406,25933,28833,111949.0
26,5,0,40,0,2499,455,14065,4030,12463,25933,480,117125.0
36,6,1,24,0,22286,820,14065,3212,1406,25933,28833,348022.0
62,14,0,40,1,22286,1627,14065,4038,12463,25933,28833,270092.0
43,13,0,45,0,22286,5044,14065,1572,12463,25933,28833,180609.0
43,13,0,45,1,22286,5044,4214,3992,7726,25933,28833,174575.0
22,9,0,55,0,22286,9840,370,3584,7726,25933,28833,410439.0
28,9,0,40,0,22286,9840,14065,4030,12463,25933,28833,92262.0
56,10,0,45,0,2499,6678,14065,3584,12463,25933,28833,183081.0
22,12,1,15,0,22286,1008,9726,3584,7726,25933,28833,362589.0
57,13,1,45,1,22286,5044,4214,3992,7726,25933,28833,212448.0
39,9,1,40,0,22286,9840,4214,3584,3212,25933,28833,481060.0
26,10,1,15,0,943,6678,9726,3721,3212,25933,28833,185885.0
17,7,0,10,0,22286,1048,9726,3212,4466,25933,28833,89821.0
40,11,0,38,1,1279,1307,14065,1966,12463,25933,28833,184018.0
45,9,0,40,0,22286,9840,14065,1966,12463,2817,28833,256649.0
44,9,0,40,0,22286,9840,9726,4030,7726,2817,28833,160323.0
20,10,1,10,0,2067,6678,9726,3721,4466,25933,28833,350845.0
33,9,1,40,0,22286,9840,14065,4030,1406,25933,28833,267404.0
23,10,0,40,0,22286,6678,9726,3584,7726,25933,28833,35633.0
46,14,0,30,0,2499,1627,4214,3992,7726,25933,28833,80914.0
38,9,0,50,0,22286,9840,14065,3584,12463,25933,28833,172927.0
54,9,0,40,0,22286,9840,4214,1572,7726,25933,28833,174319.0
46,3,1,45,0,22286,288,4214,4030,7726,25933,28833,214955.0
25,10,0,40,0,22286,6678,14065,4030,12463,25933,28833,344991.0
46,10,1,40,0,22286,6678,4214,3584,7726,25933,28833,108699.0
36,10,1,40,0,2067,6678,14065,1572,1406,25933,28833,117312.0
23,9,1,25,0,22286,9840,9726,3212,7726,25933,28833,396099.0
29,9,0,40,0,22286,9840,939,1966,7726,25933,28833,134152.0
44,10,1,6,1,22286,6678,14065,3721,1406,25933,28833,162028.0
19,10,1,16,0,22286,6678,9726,3721,4466,25933,28833,25429.0
19,9,1,40,0,22286,9840,9726,3212,889,25933,28833,232392.0
35,9,1,40,1,22286,9840,14065,3212,1406,25933,28833,220098.0
27,13,0,50,0,22286,5044,9726,4030,7726,25933,28833,301302.0
46,12,0,40,0,2499,1008,939,4030,7726,25933,28833,277946.0
34,9,1,35,0,22286,9840,9726,3212,7726,25933,28833,196164.0
44,10,0,40,0,22286,6678,14065,912,12463,25933,28833,115562.0
45,10,1,40,0,22286,6678,4214,1350,3212,25933,28833,96975.0
25,13,0,55,1,22286,5044,14065,3992,12463,25933,28833,86872.0
52,13,0,50,1,1074,5044,14065,3992,12463,25933,28833,132178.0
20,10,0,40,0,22286,6678,9726,1350,4466,25933,28833,416103.0
28,10,1,40,0,22286,6678,9726,3212,7726,25933,28833,108574.0
50,13,0,40,1,1279,5044,14065,644,12463,25933,28833,288353.0
34,11,1,64,0,22286,1307,4214,912,7726,25933,28833,227689.0
28,4,0,40,0,22286,557,14065,1350,12463,231,28833,166481.0
41,14,0,65,1,22286,1627,14065,3992,12463,25933,28833,445382.0
28,9,0,40,0,22286,9840,14065,3721,12463,25933,28833,110145.0
46,9,0,25,0,2499,9840,14065,4030,12463,25933,28833,317253.0
32,10,0,50,0,22286,6678,14065,3992,12463,25933,28833,364657.0
41,10,1,24,0,2067,6678,4214,3212,7726,2817,28833,42346.0
24,9,1,40,0,22286,9840,9726,1350,3212,2817,28833,241951.0
33,10,1,40,0,22286,6678,4214,3992,3212,25933,28833,118500.0
46,16,0,60,1,22286,375,14065,3992,12463,25933,28833,188386.0
31,10,0,40,0,1279,6678,14065,1966,12463,25933,28833,
35,8,0,50,1,22286,377,4214,4030,7726,25933,28833,92440.0
52,2,0,40,0,22286,151,14065,1966,12463,25933,28833,190762.0
30,7,1,19,0,22286,1048,9726,3212,4466,25933,28833,426017.0
34,7,0,40,0,2067,1048,939,1966,7726,2817,28833,243867.0
34,9,1,40,0,1279,9840,4214,1572,3212,25933,28833,240283.0
20,10,0,30,0,22286,6678,14065,3584,12463,25933,28833,61777.0
17,7,0,18,0,22286,1048,9726,1350,4466,25933,28833,175024.0
32,13,1,40,1,1279,5044,14065,3992,1406,25933,28833,92003.0
29,9,0,40,0,22286,9840,4214,989,7726,25933,28833,188401.0
33,6,1,35,0,22286,820,9726,4030,3212,25933,28833,228528.0
25,9,0,60,0,22286,9840,14065,1572,12463,25933,28833,133373.0
